"seqnames","start","end","width","strand","coverage1","numCs1","numTs1","coverage2","numCs2","numTs2","coverage3","numCs3","numTs3","coverage4","numCs4","numTs4","coverage5","numCs5","numTs5","coverage6","numCs6","numTs6","coverage7","numCs7","numTs7","coverage8","numCs8","numTs8","coverage9","numCs9","numTs9","coverage10","numCs10","numTs10","coverage11","numCs11","numTs11","coverage12","numCs12","numTs12","coverage13","numCs13","numTs13","coverage14","numCs14","numTs14","coverage15","numCs15","numTs15","coverage16","numCs16","numTs16","coverage17","numCs17","numTs17","coverage18","numCs18","numTs18","coverage19","numCs19","numTs19","coverage20","numCs20","numTs20","coverage21","numCs21","numTs21","coverage22","numCs22","numTs22","coverage23","numCs23","numTs23","coverage24","numCs24","numTs24","coverage25","numCs25","numTs25","coverage26","numCs26","numTs26","coverage27","numCs27","numTs27","coverage28","numCs28","numTs28","coverage29","numCs29","numTs29","coverage30","numCs30","numTs30","coverage31","numCs31","numTs31","coverage32","numCs32","numTs32","coverage33","numCs33","numTs33","coverage34","numCs34","numTs34","coverage35","numCs35","numTs35","coverage36","numCs36","numTs36","coverage37","numCs37","numTs37","coverage38","numCs38","numTs38","coverage39","numCs39","numTs39","coverage40","numCs40","numTs40","coord_key"
"chr1",45913295,45913295,1,"*",29,15,14,26,19,7,17,9,8,23,12,11,34,20,14,32,17,15,26,15,11,38,19,19,37,22,15,36,13,23,43,30,13,27,20,7,32,21,11,33,20,13,21,18,3,46,30,16,37,23,14,45,25,20,36,23,13,48,25,23,33,21,12,21,16,5,39,28,11,53,39,14,42,31,11,33,25,8,42,33,9,27,18,9,41,31,10,26,19,7,50,36,14,41,28,13,52,35,17,33,19,14,29,21,8,37,30,7,42,31,11,38,30,8,27,20,7,43,26,17,"chr1_45913295"
"chr1",58803200,58803200,1,"*",21,11,10,NA,NA,NA,17,10,7,25,12,13,16,8,8,33,19,14,23,9,14,30,15,15,31,13,18,27,13,14,29,14,15,21,12,9,30,22,8,24,12,12,19,14,5,38,17,21,31,17,14,39,18,21,35,21,14,26,16,10,18,10,8,18,14,4,28,20,8,48,27,21,33,22,11,13,8,5,14,12,2,16,11,5,37,27,10,44,36,8,22,13,9,20,12,8,19,12,7,25,20,5,28,17,11,29,20,9,36,29,7,34,24,10,26,15,11,39,23,16,"chr1_58803200"
"chr1",60953545,60953545,1,"*",35,27,8,25,20,5,22,17,5,30,26,4,27,17,10,40,26,14,23,16,7,26,19,7,56,40,16,28,20,8,33,23,10,27,23,4,22,18,4,28,21,7,18,15,3,44,37,7,49,39,10,41,34,7,41,34,7,38,33,5,22,18,4,16,14,2,21,18,3,38,28,10,30,30,0,32,27,5,36,29,7,28,26,2,23,20,3,35,31,4,36,29,7,38,35,3,40,37,3,45,42,3,32,27,5,36,31,5,47,43,4,37,33,4,26,24,2,31,26,5,"chr1_60953545"
"chr1",69847746,69847746,1,"*",29,19,10,39,29,10,30,19,11,25,15,10,39,26,13,45,28,17,31,24,7,36,27,9,51,29,22,35,20,15,31,21,10,23,17,6,38,29,9,31,21,10,27,20,7,54,34,20,49,30,19,43,25,18,61,39,22,31,21,10,28,21,7,26,21,5,41,31,10,37,30,7,45,39,6,30,18,12,35,28,7,36,28,8,31,23,8,39,31,8,51,38,13,41,35,6,33,27,6,58,47,11,36,28,8,27,27,0,44,32,12,33,27,6,22,21,1,37,28,9,"chr1_69847746"
"chr1",75881884,75881884,1,"*",37,22,15,48,28,20,44,24,20,31,21,10,32,22,10,54,34,20,28,17,11,43,27,16,54,39,15,51,26,25,48,24,24,38,25,13,55,33,22,36,21,15,53,37,16,29,16,13,53,27,26,36,17,19,50,33,17,39,27,12,35,23,12,38,25,13,44,33,11,32,22,10,35,28,7,35,19,16,53,34,19,30,18,12,42,31,11,37,28,9,63,46,17,46,38,8,29,20,9,48,36,12,45,35,10,32,22,10,45,34,11,40,33,7,26,17,9,40,29,11,"chr1_75881884"
"chr1",111895708,111895708,1,"*",21,2,19,22,5,17,10,0,10,15,1,14,17,5,12,15,2,13,22,2,20,26,3,23,24,5,19,15,2,13,34,5,29,19,3,16,24,4,20,18,3,15,10,1,9,28,2,26,19,1,18,36,4,32,NA,NA,NA,17,1,16,25,4,21,22,8,14,13,2,11,20,2,18,25,4,21,21,5,16,19,2,17,20,6,14,21,4,17,31,11,20,29,5,24,19,6,13,41,13,28,19,7,12,24,5,19,25,7,18,25,8,17,22,6,16,26,4,22,49,17,32,"chr1_111895708"
"chr1",146878364,146878364,1,"*",16,1,15,20,0,20,15,0,15,17,0,17,28,1,27,28,2,26,20,15,5,26,16,10,26,1,25,27,7,20,21,11,10,24,3,21,19,8,11,31,14,17,22,2,20,43,23,20,28,13,15,40,28,12,30,1,29,31,31,0,18,0,18,21,16,5,24,23,1,21,21,0,28,26,2,27,14,13,31,18,13,23,22,1,30,15,15,28,17,11,46,45,1,30,28,2,34,19,15,39,20,19,46,45,1,36,36,0,29,28,1,25,16,9,48,47,1,29,27,2,"chr1_146878364"
"chr1",151132534,151132534,1,"*",NA,NA,NA,NA,NA,NA,NA,NA,NA,11,1,10,NA,NA,NA,11,0,11,NA,NA,NA,12,0,12,15,3,12,11,1,10,11,3,8,11,3,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,1,13,23,4,19,20,4,16,15,3,12,10,2,8,NA,NA,NA,NA,NA,NA,11,3,8,12,6,6,18,6,12,NA,NA,NA,NA,NA,NA,10,3,7,13,5,8,15,10,5,10,4,6,NA,NA,NA,26,10,16,12,4,8,11,3,8,13,6,7,10,3,7,13,4,9,19,6,13,61,44,17,"chr1_151132534"
"chr1",151283129,151283129,1,"*",10,0,10,14,0,14,NA,NA,NA,NA,NA,NA,14,0,14,13,0,13,11,0,11,13,0,13,23,0,23,NA,NA,NA,19,0,19,20,0,20,16,0,16,10,0,10,NA,NA,NA,NA,NA,NA,16,0,16,17,0,17,22,0,22,11,0,11,16,0,16,14,1,13,NA,NA,NA,18,0,18,17,2,15,15,0,15,13,0,13,NA,NA,NA,25,0,25,25,5,20,13,2,11,10,0,10,33,0,33,22,2,20,18,0,18,14,2,12,18,0,18,21,1,20,26,4,22,44,16,28,"chr1_151283129"
"chr1",151611970,151611970,1,"*",10,0,10,10,0,10,NA,NA,NA,NA,NA,NA,13,0,13,12,0,12,NA,NA,NA,12,0,12,16,0,16,12,0,12,17,0,17,NA,NA,NA,11,0,11,18,0,18,NA,NA,NA,13,0,13,22,0,22,14,0,14,12,0,12,21,0,21,NA,NA,NA,NA,NA,NA,12,1,11,19,0,19,20,1,19,NA,NA,NA,23,1,22,11,0,11,14,1,13,12,4,8,20,2,18,17,1,16,22,0,22,11,2,9,14,0,14,16,2,14,10,1,9,18,1,17,22,1,21,49,21,28,"chr1_151611970"
"chr1",154154896,154154896,1,"*",17,17,0,NA,NA,NA,NA,NA,NA,15,15,0,13,13,0,11,11,0,12,11,1,20,19,1,17,17,0,15,15,0,12,12,0,11,10,1,16,15,1,13,12,1,12,12,0,21,21,0,23,22,1,38,38,0,14,14,0,17,15,2,17,15,2,11,5,6,12,12,0,10,10,0,23,21,2,19,18,1,11,10,1,11,10,1,20,20,0,12,12,0,14,14,0,30,15,15,32,22,10,21,12,9,13,11,2,17,16,1,18,16,2,31,18,13,20,16,4,33,25,8,"chr1_154154896"
"chr1",154155016,154155016,1,"*",18,18,0,11,11,0,NA,NA,NA,11,11,0,10,8,2,15,15,0,15,14,1,15,14,1,22,21,1,12,11,1,19,17,2,14,13,1,15,15,0,15,12,3,14,13,1,22,22,0,27,26,1,36,35,1,15,15,0,12,12,0,20,17,3,19,7,12,12,10,2,14,12,2,20,19,1,18,16,2,10,10,0,16,15,1,23,22,1,21,18,3,18,17,1,22,12,10,35,22,13,25,12,13,16,14,2,20,18,2,19,17,2,29,16,13,24,21,3,36,21,15,"chr1_154155016"
"chr1",155901094,155901094,1,"*",27,23,4,20,13,7,15,12,3,24,17,7,20,13,7,18,13,5,21,14,7,20,15,5,17,10,7,17,14,3,30,26,4,36,30,6,29,22,7,22,18,4,19,17,2,37,25,12,36,25,11,33,22,11,30,23,7,32,27,5,15,13,2,16,14,2,27,26,1,30,25,5,38,35,3,25,20,5,17,16,1,30,27,3,34,32,2,25,25,0,26,24,2,28,25,3,43,40,3,36,28,8,35,28,7,31,31,0,30,24,6,33,29,4,24,18,6,36,30,6,"chr1_155901094"
"chr1",160084357,160084357,1,"*",NA,NA,NA,21,6,15,NA,NA,NA,NA,NA,NA,14,3,11,14,5,9,19,7,12,23,7,16,22,7,15,14,6,8,29,7,22,23,8,15,17,2,15,19,7,12,NA,NA,NA,13,3,10,13,4,9,39,12,27,12,2,10,15,4,11,23,8,15,30,17,13,NA,NA,NA,15,5,10,16,4,12,16,7,9,20,8,12,12,5,7,26,9,17,35,19,16,15,5,10,20,9,11,28,13,15,15,8,7,26,8,18,19,8,11,18,8,10,19,6,13,20,11,9,60,40,20,"chr1_160084357"
"chr1",174056664,174056664,1,"*",12,11,1,11,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,12,2,16,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,10,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,14,0,NA,NA,NA,10,10,0,NA,NA,NA,NA,NA,NA,10,10,0,NA,NA,NA,16,16,0,13,13,0,101,100,1,"chr1_174056664"
"chr1",179765461,179765461,1,"*",32,21,11,17,13,4,17,13,4,23,19,4,23,17,6,28,22,6,20,17,3,34,28,6,38,33,5,21,15,6,23,22,1,22,18,4,30,27,3,27,20,7,18,16,2,39,32,7,39,30,9,44,28,16,33,24,9,28,21,7,24,23,1,19,14,5,29,27,2,27,23,4,29,26,3,21,17,4,30,28,2,24,20,4,26,25,1,29,28,1,43,38,5,19,17,2,38,36,2,30,30,0,40,40,0,29,26,3,28,26,2,44,41,3,30,26,4,39,36,3,"chr1_179765461"
"chr1",180913424,180913424,1,"*",17,2,15,16,1,15,NA,NA,NA,18,1,17,12,0,12,14,2,12,15,1,14,15,1,14,14,2,12,11,1,10,NA,NA,NA,19,0,19,19,2,17,16,3,13,NA,NA,NA,12,2,10,11,0,11,26,2,24,NA,NA,NA,18,3,15,17,2,15,20,4,16,16,2,14,13,5,8,21,4,17,NA,NA,NA,11,2,9,12,2,10,13,2,11,25,6,19,10,2,8,11,0,11,23,2,21,19,4,15,19,5,14,21,3,18,15,3,12,19,7,12,17,3,14,56,24,32,"chr1_180913424"
"chr1",181742852,181742852,1,"*",34,19,15,43,30,13,17,10,7,25,11,14,28,18,10,19,15,4,31,17,14,33,22,11,40,24,16,43,23,20,31,13,18,27,19,8,34,17,17,27,18,9,22,11,11,44,22,22,38,21,17,44,23,21,33,17,16,29,13,16,34,16,18,26,19,7,32,25,7,23,17,6,33,23,10,22,11,11,35,26,9,40,25,15,21,15,6,46,36,10,31,22,9,24,17,7,48,33,15,35,19,16,39,25,14,33,20,13,36,25,11,27,17,10,23,18,5,31,23,8,"chr1_181742852"
"chr1",185318041,185318041,1,"*",22,2,20,24,6,18,15,4,11,24,8,16,30,8,22,19,3,16,21,1,20,13,3,10,30,5,25,44,9,35,27,3,24,35,4,31,29,8,21,18,4,14,20,4,16,26,7,19,33,2,31,33,7,26,36,5,31,34,6,28,31,3,28,23,7,16,24,9,15,25,5,20,22,10,12,23,4,19,33,12,21,20,8,12,34,7,27,25,11,14,28,11,17,29,11,18,20,2,18,19,6,13,35,14,21,27,6,21,29,14,15,25,5,20,33,9,24,40,16,24,"chr1_185318041"
"chr1",204190065,204190065,1,"*",36,26,10,25,17,8,14,13,1,29,21,8,19,16,3,29,20,9,40,35,5,32,24,8,38,29,9,25,17,8,44,33,11,33,19,14,25,20,5,24,20,4,25,21,4,42,32,10,29,18,11,33,24,9,44,31,13,38,28,10,28,20,8,25,20,5,34,29,5,33,25,8,31,26,5,21,17,4,30,27,3,20,14,6,39,32,7,40,37,3,47,41,6,30,28,2,40,39,1,26,20,6,33,31,2,32,27,5,33,30,3,35,29,6,32,27,5,37,32,5,"chr1_204190065"
"chr1",204246068,204246068,1,"*",21,15,6,28,19,9,14,12,2,21,13,8,23,19,4,20,13,7,29,25,4,30,27,3,31,24,7,31,27,4,20,15,5,27,21,6,21,18,3,17,13,4,20,15,5,33,29,4,36,25,11,34,25,9,17,12,5,26,20,6,19,15,4,11,11,0,35,27,8,19,15,4,19,18,1,22,18,4,19,16,3,15,15,0,27,26,1,18,17,1,33,29,4,19,17,2,38,36,2,23,21,2,16,15,1,28,26,2,31,28,3,25,20,5,27,23,4,30,28,2,"chr1_204246068"
"chr1",206480472,206480472,1,"*",NA,NA,NA,NA,NA,NA,NA,NA,NA,15,7,8,13,8,5,14,9,5,15,8,7,12,9,3,13,10,3,NA,NA,NA,11,8,3,14,10,4,13,5,8,15,10,5,NA,NA,NA,17,10,7,25,14,11,48,26,22,20,12,8,16,10,6,17,12,5,17,14,3,22,19,3,19,13,6,27,19,8,17,15,2,12,10,2,11,9,2,21,15,6,13,9,4,21,18,3,14,9,5,22,21,1,24,19,5,24,17,7,23,19,4,25,20,5,27,20,7,21,14,7,32,31,1,"chr1_206480472"
"chr1",209629318,209629318,1,"*",33,28,5,33,31,2,15,14,1,23,21,2,30,25,5,36,28,8,40,35,5,38,32,6,39,35,4,26,24,2,28,23,5,24,20,4,33,30,3,31,27,4,14,12,2,35,27,8,33,31,2,41,38,3,37,34,3,32,29,3,32,29,3,29,16,13,39,29,10,29,18,11,28,25,3,25,15,10,34,28,6,25,20,5,38,30,8,42,32,10,24,20,4,40,32,8,44,37,7,42,34,8,34,30,4,35,30,5,38,28,10,29,24,5,33,23,10,31,23,8,"chr1_209629318"
"chr1",219027316,219027316,1,"*",14,6,8,22,7,15,10,2,8,NA,NA,NA,16,6,10,38,18,20,NA,NA,NA,NA,NA,NA,27,10,17,26,9,17,28,11,17,NA,NA,NA,22,10,12,33,15,18,26,17,9,27,11,16,27,18,9,NA,NA,NA,41,21,20,22,11,11,16,9,7,26,16,10,35,19,16,18,10,8,43,25,18,11,6,5,32,17,15,NA,NA,NA,NA,NA,NA,47,33,14,23,14,9,25,18,7,21,13,8,27,17,10,22,13,9,18,15,3,22,11,11,29,22,7,20,12,8,NA,NA,NA,"chr1_219027316"
"chr1",227786867,227786867,1,"*",11,7,4,16,9,7,NA,NA,NA,12,6,6,NA,NA,NA,NA,NA,NA,12,6,6,17,9,8,17,8,9,25,13,12,10,3,7,11,8,3,20,11,9,11,7,4,NA,NA,NA,16,10,6,16,10,6,31,21,10,21,11,10,15,8,7,12,6,6,22,13,9,12,9,3,14,10,4,23,19,4,NA,NA,NA,21,16,5,13,10,3,10,5,5,15,9,6,13,8,5,15,11,4,29,24,5,20,14,6,15,11,4,17,13,4,16,8,8,16,13,3,26,19,7,39,36,3,"chr1_227786867"
"chr1",227786923,227786923,1,"*",NA,NA,NA,14,5,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,7,5,16,8,8,11,5,6,22,11,11,NA,NA,NA,11,8,3,21,11,10,NA,NA,NA,NA,NA,NA,15,6,9,15,6,9,33,16,17,18,8,10,10,3,7,14,6,8,21,12,9,12,8,4,14,10,4,26,18,8,NA,NA,NA,22,14,8,12,8,4,11,4,7,16,13,3,10,8,2,13,5,8,26,20,6,15,10,5,14,8,6,19,13,6,15,12,3,13,7,6,27,18,9,48,39,9,"chr1_227786923"
"chr1",228214310,228214310,1,"*",12,1,11,12,2,10,NA,NA,NA,NA,NA,NA,17,1,16,12,2,10,NA,NA,NA,12,2,10,11,4,7,14,2,12,13,2,11,12,1,11,13,1,12,12,2,10,NA,NA,NA,14,1,13,17,1,16,25,2,23,12,2,10,16,1,15,22,2,20,15,3,12,10,4,6,NA,NA,NA,16,3,13,NA,NA,NA,NA,NA,NA,12,3,9,NA,NA,NA,17,9,8,NA,NA,NA,10,4,6,24,6,18,23,2,21,NA,NA,NA,18,7,11,12,3,9,NA,NA,NA,18,5,13,53,31,22,"chr1_228214310"
"chr1",230364080,230364080,1,"*",26,18,8,32,21,11,14,7,7,16,10,6,23,14,9,26,17,9,28,20,8,25,13,12,39,17,22,26,16,10,34,24,10,26,13,13,18,11,7,22,15,7,15,8,7,38,21,17,37,24,13,42,27,15,32,16,16,27,16,11,23,11,12,18,4,14,26,12,14,32,11,21,22,11,11,39,18,21,29,15,14,28,17,11,25,14,11,36,18,18,27,14,13,35,12,23,26,10,16,39,10,29,40,22,18,16,6,10,26,15,11,30,12,18,37,19,18,36,14,22,"chr1_230364080"
"chr1",240682590,240682590,1,"*",34,15,19,21,11,10,26,16,10,25,17,8,15,8,7,32,19,13,39,22,17,24,15,9,36,27,9,29,18,11,38,23,15,26,16,10,17,13,4,20,14,6,26,17,9,40,24,16,46,26,20,25,16,9,32,20,12,14,8,6,19,13,6,14,12,2,19,14,5,32,23,9,38,25,13,25,18,7,22,13,9,25,18,7,35,25,10,29,25,4,38,31,7,27,21,6,42,32,10,40,33,7,32,22,10,32,26,6,25,17,8,28,19,9,NA,NA,NA,22,16,6,"chr1_240682590"
"chr10",123944954,123944954,1,"*",32,22,10,21,17,4,21,10,11,17,13,4,23,12,11,48,33,15,28,20,8,24,21,3,41,31,10,25,18,7,30,24,6,24,19,5,27,18,9,24,21,3,20,14,6,39,27,12,46,29,17,50,34,16,32,21,11,33,23,10,33,22,11,13,11,2,27,24,3,27,20,7,35,34,1,29,25,4,32,25,7,26,23,3,34,29,5,36,30,6,26,20,6,25,23,2,30,25,5,21,17,4,30,21,9,39,33,6,28,23,5,32,27,5,28,21,7,34,25,9,"chr10_123944954"
"chr10",129466742,129466742,1,"*",NA,NA,NA,12,1,11,NA,NA,NA,11,2,9,12,2,10,11,3,8,11,0,11,12,2,10,22,0,22,18,1,17,12,1,11,17,3,14,13,2,11,NA,NA,NA,11,1,10,NA,NA,NA,12,1,11,30,2,28,19,3,16,17,0,17,24,3,21,17,3,14,11,3,8,13,1,12,15,5,10,11,2,9,17,3,14,10,0,10,10,3,7,19,7,12,12,4,8,18,8,10,24,5,19,15,3,12,10,2,8,19,5,14,14,4,10,19,2,17,25,6,19,43,23,20,"chr10_129466742"
"chr11",1193829,1193829,1,"*",12,11,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,11,0,NA,NA,NA,11,10,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19,19,0,21,20,1,19,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,8,3,NA,NA,NA,10,6,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,12,1,NA,NA,NA,16,8,8,13,8,5,NA,NA,NA,11,11,0,10,8,2,13,9,4,13,8,5,36,26,10,"chr11_1193829"
"chr11",2023349,2023349,1,"*",11,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,9,1,13,11,2,15,15,0,17,13,4,NA,NA,NA,20,19,1,16,13,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23,21,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,3,13,NA,NA,NA,NA,NA,NA,18,12,6,10,1,9,NA,NA,NA,NA,NA,NA,13,0,13,11,2,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,2,8,14,11,3,16,3,13,"chr11_2023349"
"chr11",2995965,2995965,1,"*",25,13,12,31,22,9,11,3,8,20,14,6,20,13,7,31,20,11,32,22,10,30,20,10,24,14,10,37,24,13,21,12,9,31,21,10,27,17,10,24,15,9,14,8,6,31,20,11,27,19,8,35,23,12,33,23,10,28,16,12,20,14,6,20,16,4,35,25,10,23,17,6,24,17,7,22,18,4,23,20,3,22,20,2,23,14,9,38,32,6,23,20,3,14,12,2,30,24,6,39,28,11,31,27,4,35,26,9,31,26,5,28,25,3,25,22,3,43,28,15,"chr11_2995965"
