"seqnames","start","end","width","strand","coverage1","numCs1","numTs1","coverage2","numCs2","numTs2","coverage3","numCs3","numTs3","coverage4","numCs4","numTs4","coverage5","numCs5","numTs5","coverage6","numCs6","numTs6","coverage7","numCs7","numTs7","coverage8","numCs8","numTs8","coverage9","numCs9","numTs9","coverage10","numCs10","numTs10","coverage11","numCs11","numTs11","coverage12","numCs12","numTs12","coord_key"
"chr5",143214074,143214074,1,"*",15,4,11,9,9,0,16,3,13,12,8,4,12,4,8,12,10,2,19,5,14,8,5,3,11,4,7,12,9,3,8,3,5,8,7,1,"chr5_143214074"
"chr5",157612253,157612253,1,"*",7,4,3,8,8,0,16,5,11,14,14,0,9,5,4,11,11,0,9,4,5,5,4,1,6,2,4,12,11,1,11,3,8,14,11,3,"chr5_157612253"
"chr5",172816000,172816000,1,"*",12,2,10,11,8,3,10,3,7,14,11,3,8,3,5,10,6,4,13,4,9,14,13,1,11,1,10,11,8,3,9,1,8,9,6,3,"chr5_172816000"
"chr6",14072173,14072173,1,"*",16,6,10,14,12,2,12,3,9,13,13,0,8,5,3,13,13,0,17,4,13,14,12,2,7,3,4,11,10,1,10,3,7,12,10,2,"chr6_14072173"
"chr6",137792263,137792263,1,"*",13,7,6,14,13,1,13,9,4,12,12,0,11,7,4,12,12,0,22,11,11,12,11,1,11,5,6,8,7,1,10,4,6,10,10,0,"chr6_137792263"
"chr6",158357673,158357673,1,"*",10,2,8,9,7,2,16,7,9,9,8,1,5,0,5,8,7,1,13,6,7,10,8,2,8,5,3,16,15,1,11,6,5,14,13,1,"chr6_158357673"
"chr6",160058323,160058323,1,"*",10,4,6,16,12,4,18,8,10,15,12,3,17,6,11,10,9,1,10,3,7,13,13,0,10,3,7,18,16,2,12,5,7,12,9,3,"chr6_160058323"
"chr7",967092,967092,1,"*",12,6,6,14,13,1,7,3,4,15,13,2,10,4,6,13,13,0,15,7,8,16,14,2,12,2,10,8,8,0,7,3,4,19,18,1,"chr7_967092"
"chr7",967110,967110,1,"*",13,5,8,14,12,2,11,3,8,12,11,1,10,6,4,14,12,2,16,8,8,10,8,2,9,2,7,10,9,1,9,3,6,24,20,4,"chr7_967110"
"chr7",41306341,41306341,1,"*",11,7,4,10,8,2,16,7,9,8,8,0,7,4,3,11,10,1,14,8,6,11,10,1,7,2,5,13,13,0,9,3,6,14,11,3,"chr7_41306341"
"chr7",50352687,50352687,1,"*",10,4,6,13,12,1,21,11,10,9,8,1,12,8,4,10,9,1,15,6,9,11,8,3,5,1,4,22,20,2,8,3,5,9,9,0,"chr7_50352687"
"chr7",99141873,99141873,1,"*",10,4,6,8,8,0,13,8,5,13,13,0,10,6,4,14,14,0,10,5,5,11,10,1,9,3,6,11,10,1,10,3,7,13,13,0,"chr7_99141873"
"chr7",111113915,111113915,1,"*",14,4,10,13,11,2,17,5,12,14,11,3,8,3,5,15,13,2,21,7,14,15,11,4,5,3,2,16,14,2,8,1,7,20,17,3,"chr7_111113915"
"chr7",139669542,139669542,1,"*",15,5,10,15,13,2,12,4,8,10,7,3,13,5,8,10,6,4,16,3,13,14,13,1,5,1,4,13,8,5,7,0,7,16,11,5,"chr7_139669542"
"chr8",680481,680481,1,"*",16,12,4,8,8,0,9,7,2,18,18,0,6,3,3,10,10,0,9,7,2,8,8,0,5,2,3,9,9,0,5,1,4,16,15,1,"chr8_680481"
"chr8",22248275,22248275,1,"*",13,7,6,15,14,1,10,5,5,6,5,1,10,3,7,9,9,0,11,5,6,12,12,0,7,2,5,12,10,2,8,4,4,11,10,1,"chr8_22248275"
"chr8",27700810,27700810,1,"*",13,1,12,13,8,5,13,4,9,10,9,1,21,4,17,8,5,3,13,3,10,9,7,2,8,2,6,7,5,2,6,3,3,17,14,3,"chr8_27700810"
"chr8",28197703,28197703,1,"*",12,5,7,8,7,1,13,7,6,14,13,1,7,6,1,15,14,1,23,10,13,14,14,0,10,4,6,5,5,0,5,3,2,11,11,0,"chr8_28197703"
"chr8",29500215,29500215,1,"*",10,3,7,13,13,0,21,8,13,13,12,1,14,6,8,15,14,1,22,4,18,11,10,1,12,1,11,8,7,1,6,0,6,16,15,1,"chr8_29500215"
"chr8",38946221,38946221,1,"*",11,9,2,20,19,1,16,8,8,14,12,2,9,4,5,12,11,1,14,5,9,16,16,0,7,2,5,7,6,1,8,2,6,6,5,1,"chr8_38946221"
"chr9",5312403,5312403,1,"*",22,18,4,18,18,0,8,4,4,7,7,0,10,8,2,7,7,0,16,9,7,8,7,1,7,4,3,9,8,1,10,3,7,19,18,1,"chr9_5312403"
"chr9",75101162,75101162,1,"*",16,10,6,9,9,0,7,2,5,7,7,0,8,4,4,10,8,2,13,5,8,14,13,1,6,3,3,8,8,0,10,5,5,8,7,1,"chr9_75101162"
"chr9",110116672,110116672,1,"*",15,7,8,11,8,3,10,3,7,20,16,4,11,3,8,7,7,0,22,6,16,15,12,3,9,3,6,14,6,8,14,3,11,14,10,4,"chr9_110116672"
"chr9",129934443,129934443,1,"*",10,6,4,11,10,1,19,7,12,16,14,2,16,8,8,14,13,1,17,6,11,13,12,1,8,4,4,9,9,0,10,3,7,9,7,2,"chr9_129934443"
"chrX",46580820,46580820,1,"*",5,1,4,6,6,0,6,2,4,5,5,0,6,2,4,6,6,0,8,3,5,7,7,0,6,3,3,16,16,0,6,2,4,6,5,1,"chrX_46580820"
